severity,subjects,components,date
Recall,Fuel:throttle linkages and control:cam:fast idle,N/A,1985-05-01
Recall,Fuel:fuel lines fittings:non-metallic,"Fuel System, Gasoline",1985-04-17
Recall,Suspension:independent front air suspension system,Suspension,1985-04-09
Recall,Brakes:hydraulic:master cylinder,"Service Brakes, Hydraulic",1985-03-11
Recall,Steering:linkages:link:drag:connection,Steering,1986-12-30
Recall,Brakes:hydraulic:other,N/A,1986-12-30
Recall,Suspension:single axle:rear:non-power axle:spindle,Suspension,1986-11-07
Recall,Steering:column,Steering,1986-10-28
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1986-10-24
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1986-09-02
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1986-08-14
Recall,Fuel:throttle linkages and control,N/A,1986-08-12
Recall,Electrical system:ignition,Electrical System,1986-08-08
Recall,Brakes:power assist:primary:pump,"Service Brakes, Hydraulic",1986-08-08
Recall,Steering:linkages:link:drag:connection,Steering,1986-07-15
Recall,Power train:driveshaft,Power Train,1986-07-14
Recall,Brakes:hydraulic:lines:fittings:other,"Service Brakes, Hydraulic",1986-07-11
Large Recall,Interior systems:seats,N/A,1986-06-24
Recall,Lighting:lamp or socket:head lights,Exterior Lighting,1986-05-21
Recall,Emergency parking brake:mechanical:attachments:whe,Parking Brake,1986-04-14
Recall,Visual systems:mirrors:rearview:exterior,Visibility,1986-03-27
Recall,Visual systems:glazing material sticker,N/A,1986-03-10
Recall,Brakes:hydraulic:anti-skid system,"Service Brakes, Hydraulic",1986-02-10
Recall,Suspension:single axle:rear:leaf spring assembly,Suspension,1986-01-22
Large Recall,Fuel:fuel emission control:lines:vapor vent,Engine And Engine Cooling,1987-09-09
Large Recall,Fuel:fuel lines:metallic,"Fuel System, Gasoline",1987-09-04
Recall,Wheels:lugs:nuts:bolts,Wheels,1987-09-04
Recall,Brakes:hydraulic system,"Service Brakes, Hydraulic",1987-09-04
Recall,Fuel:fuel injection:other parts,"Fuel System, Gasoline",1987-08-17
Recall,Fuel:fuel emission control:lines:vapor vent,Engine And Engine Cooling,1987-07-21
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1987-07-16
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1987-06-15
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1987-05-26
Recall,Suspension:independent front:bearing wheel,Suspension,1987-05-26
Recall,Equipment:other labels,Equipment,1987-05-18
Recall,Fuel:throttle linkages and control return spring,Vehicle Speed Control,1987-04-27
Recall,Wheels:lugs:nuts:bolts,Wheels,1987-04-27
Recall,Visual systems:windshield wiper:motor,Visibility,1987-02-19
Recall,Steering:linkages:arm:idler and attachment,Steering,1987-02-19
Recall,Steering:linkages:rod:relay:connecting,Steering,1987-02-09
Recall,Fuel:fuel pump,"Fuel System, Gasoline",1988-12-19
Recall,Lighting:general or unknown component:side marker,N/A,1988-12-12
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1988-11-18
Recall,Fuel:fuel tank assembly:attachments,"Fuel System, Gasoline",1988-10-18
Recall,Visual systems:glass:window:rear-view backlight,Visibility,1988-09-02
Recall,Interior systems:seat track anchors and seats,N/A,1988-09-02
Recall,Engine cooling system:hoses,Engine And Engine Cooling,1988-08-09
Recall,Electrical system:wiring,Electrical System,1988-07-22
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1988-07-19
Recall,Power train:transmission:automatic:lever and linka,Power Train,1988-06-27
Recall,Electrical system:wiring:other part,Electrical System,1988-06-06
Recall,Power train:transmission:automatic:lever and linka,Power Train,1988-05-20
Recall,Steering:power:gear box,Steering,1988-05-10
Recall,Power train:axle assembly:shaft axle,Power Train,1988-03-15
Recall,Suspension:single axle:rear:torsion bar,Suspension,1988-03-11
Recall,Interior systems:seat and shoulder belts and belt,N/A,1988-03-08
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1988-03-08
Recall,Fuel:throttle linkages and control,N/A,1988-03-01
Recall,Suspension,N/A,1988-02-09
Recall,Fuel:throttle linkages and control,N/A,1989-12-22
Large Recall,Interior systems:active seat and shoulder belts an,Seat Belts,1989-12-18
Recall,Brakes:hydraulic:master cylinder:pistons:cups:spri,"Service Brakes, Hydraulic",1989-12-11
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1989-11-21
Recall,Steering:column coupling,Steering,1989-11-07
Large Recall,Interior systems:tracks and anchors:front seat:man,N/A,1989-10-13
Recall,Lighting:switch:button:ring:head lights,Exterior Lighting,1989-10-13
Recall,Visual systems:glass:windshield,Visibility,1989-10-13
Recall,Heater:water:defroster:defogger:hose,Visibility,1989-10-01
Recall,Fuel:throttle linkages:accelerator:rigid,Vehicle Speed Control,1989-09-25
Recall,Heater:water:defroster:defogger:hose,Visibility,1989-08-15
Recall,Fuel:fuel tank:auxillary selector and switch,"Fuel System, Gasoline",1989-08-15
Recall,Fuel:fuel tank:auxillary,"Fuel System, Gasoline",1989-07-14
Recall,Suspension:independent front:bearing wheel,Suspension,1989-07-05
Recall,Brakes:low air pressure warning devices,"Service Brakes, Air",1989-06-19
Large Recall,Engine:gaskets,Engine And Engine Cooling,1989-06-12
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1989-05-22
Recall,Suspension:single axle:rear:spring:coil and attach,Suspension,1989-05-19
Large Recall,Brakes:caliper,"Service Brakes, Air",1989-05-19
Recall,Fuel:fuel lines:metallic,"Fuel System, Gasoline",1989-04-04
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1989-03-27
Recall,Steering:linkages:other,Steering,1989-01-24
Recall,Brakes:hydraulic:pedals and linkages,"Service Brakes, Hydraulic",1990-11-09
Large Recall,Interior systems:passive restraint:air bag:driver,Air Bags,1990-10-30
Recall,Wheels:disc:spider,Wheels,1990-08-28
Recall,Fuel:fuel system other parts,"Fuel System, Gasoline",1990-08-21
Recall,Interior systems:seat latch,Seats,1990-08-06
Recall,Brakes:air systems:pedals:linkages and valves,"Service Brakes, Air",1990-06-25
Large Recall,Power train:transmission:automatic:indicator:lever,Power Train,1990-06-01
Recall,Brakes:hydraulic:master cylinder,"Service Brakes, Hydraulic",1990-05-24
Recall,Visual systems:sun roof hinges (8/82),Visibility,1990-05-21
Recall,Brakes:hydraulic:hydroboost unit,"Service Brakes, Hydraulic",1990-05-21
Recall,Fuel:throttle linkages and control:pedal,Vehicle Speed Control,1990-04-17
Recall,Interior systems:restraint:belt warning system:lig,Seat Belts,1990-03-08
Recall,Fuel:throttle linkages and control,N/A,1990-03-01
Recall,Electrical system:battery:cable,Electrical System,1990-02-12
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1990-02-08
Recall,Steering:column coupling,Steering,1990-01-22
Large Recall,Power train:transmission:automatic,Power Train,1991-11-04
Recall,Structure:hood assembly:latches,Latches/locks/linkages,1991-09-10
Recall,Structure:hatchback support rod (also 13640000),Structure,1991-09-04
Large Recall,Fuel:fuel tank:auxillary selector and switch,"Fuel System, Gasoline",1991-09-04
Large Recall,Structure:hatchback hydraulic cylinder:trunk cylin,Structure,1991-08-19
Large Recall,Brakes:hydraulic:disc:rotor:disc hub,"Service Brakes, Hydraulic",1991-08-06
Recall,Steering:gear box,Steering,1991-07-16
Large Recall,Visual systems:windshield wiper:motor,Visibility,1991-05-06
Recall,Fuel:throttle linkages and control:cam:fast idle,N/A,1991-05-01
Recall,Power train:transmission:automatic,Power Train,1991-03-18
Large Recall,Interior systems:seats,N/A,1991-03-04
Large Recall,Structure:bumper assembly:attachments/support bars,Structure,1991-02-12
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1991-02-11
Recall,Fuel:fuel tank assembly:tank,"Fuel System, Gasoline",1991-02-11
Recall,Fuel:fuel lines fittings and pump,"Fuel System, Gasoline",1991-01-08
Recall,Power train:transmission:automatic:cooling unit an,Power Train,1991-01-08
Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1991-01-01
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1992-12-02
Recall,Interior systems:active restraints:belt retractors,Seat Belts,1992-11-18
Recall,Wheels,N/A,1992-11-10
Recall,Brakes:hydraulic:master cylinder,"Service Brakes, Hydraulic",1992-09-21
Recall,Interior systems:passive restraint:belts,N/A,1992-09-21
Recall,Equipment:tire reserve load label (glove compartme,Equipment,1992-08-24
Recall,Fuel:fuel systems,N/A,1992-08-19
Large Recall,Interior systems:active restraints:belt buckles,Seat Belts,1992-08-17
Recall,Engine,Engine And Engine Cooling,1992-08-04
Recall,Lighting:switch:button:ring:brake lights,Exterior Lighting,1992-07-13
Recall,Interior systems:passive restraint:air bag,N/A,1992-06-02
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1992-05-19
Large Recall,Structure:wheel well spare cover (8/82),N/A,1992-05-11
Large Recall,Interior systems:active seat and shoulder belts an,Seat Belts,1992-04-29
Large Recall,Brakes:hydraulic:shoe and drum system:linings,"Service Brakes, Hydraulic",1992-03-03
Recall,Interior systems:instrument panel:gauge:indicator:,N/A,1992-02-19
Large Recall,Structure:door assembly:latches and locks,Structure,1992-01-14
Recall,Interior systems:tracks and anchors:front seat:pow,Seats,1993-11-23
Recall,Emergency parking brake:mechanical,Parking Brake,1993-11-23
Recall,Interior systems:passive restraint:air bag,N/A,1993-11-10
Recall,Power train:transmission:automatic:cooling unit an,Power Train,1993-11-05
Recall,Interior systems:passive restraint:air bag:passeng,Air Bags,1993-10-15
Recall,Fuel:fuel injection system,"Fuel System, Gasoline",1993-09-27
Recall,Fuel:throttle linkages and control return spring,Vehicle Speed Control,1993-09-27
Recall,Interior systems:passive restraint:air bag,N/A,1993-09-24
Recall,Brakes:hydraulic:fittings:metallic,"Service Brakes, Hydraulic",1993-09-13
Large Recall,Fuel:fuel tank assembly,"Fuel System, Gasoline",1993-08-02
Large Recall,Structure:frame:members and body,Structure,1993-06-23
Recall,Fuel:fuel systems,N/A,1993-06-08
Recall,Power train:transfer case (4-wheel drive),Power Train,1993-05-17
Recall,Suspension:single axle:rear:shock absorber,Suspension,1993-04-27
Recall,Electrical system:ignition:anti-theft,Electrical System,1993-04-15
Recall,Structure:hatchback support rod (also 13640000),Structure,1993-04-13
Recall,Brakes:hydraulic:anti-skid system,"Service Brakes, Hydraulic",1993-01-04
Recall,Steering:linkages:link:drag:connection,Steering,1994-12-12
Recall,Equipment:carrier:spare tire,Equipment,1994-12-01
Recall,Brakes:hydraulic:anti-skid control mode solenoid s,"Service Brakes, Hydraulic",1994-11-28
Recall,Interior systems:passive restraint:air bag:driver,Air Bags,1994-11-10
Recall,Electrical system:wiring:harness:front:underhood,Electrical System,1994-11-04
Large Recall,Electrical system:alternator:regulator:starter,Electrical System,1994-11-04
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1994-10-18
Recall,Brakes:hydraulic:pedals and linkages,"Service Brakes, Hydraulic",1994-10-11
Recall,Interior systems:passive restraint:air bag:passeng,Air Bags,1994-10-11
Recall,Fuel:fuel lines fittings and pump,"Fuel System, Gasoline",1994-10-04
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1994-09-29
Recall,Electrical system:battery,Electrical System,1994-09-13
Large Recall,Emergency parking brake:mechanical,Parking Brake,1994-09-07
Recall,Fuel:fuel tank assembly,"Fuel System, Gasoline",1994-08-15
Large Recall,Brakes:hydraulic system,"Service Brakes, Hydraulic",1994-08-09
Recall,Equipment:certification label,Equipment,1994-08-01
Recall,Visual systems:glass:windshield,Visibility,1994-08-01
Recall,Brakes:hydraulic:pedals and linkages,"Service Brakes, Hydraulic",1994-07-12
Recall,Steering:gear:rack and pinion,Steering,1994-06-27
Recall,Fuel:fuel lines:hoses:non-metallic,"Fuel System, Gasoline",1994-06-13
Recall,Electrical system:ignition:electronic control unit,Electrical System,1994-05-25
Recall,Interior systems:tracks and anchors:front seat:man,N/A,1994-03-26
Recall,Electrical system:battery,Electrical System,1994-03-26
Recall,Fuel:fuel lines:metallic,"Fuel System, Gasoline",1994-02-23
Large Recall,Structure:bumper assembly,Structure,1994-01-02
Large Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1995-12-05
Recall,Fuel:throttle linkages and control,N/A,1995-12-05
Large Recall,Interior systems:restraint:belt anchor and attachm,Seat Belts,1995-12-04
Recall,Heater:defroster:defogger and ventilation,Visibility,1995-11-21
Recall,Suspension:independent front control arm:upper,Suspension,1995-10-11
Recall,Electrical system:fuse and recepticle:circuit brea,Electrical System,1995-10-02
Large Recall,Structure:hatchback hydraulic cylinder:trunk cylin,Structure,1995-08-25
Recall,Structure:hood assembly:latches,Latches/locks/linkages,1995-08-07
Recall,Fuel:throttle linkages and control,N/A,1995-08-02
Recall,Steering:linkages:tie rod:end,Steering,1995-07-17
Large Recall,Interior systems:active restraints:belt buckles,Seat Belts,1995-06-27
Recall,Brakes:air dryer,"Service Brakes, Air",1995-06-13
Large Recall,Structure:hood assembly:latches,Latches/locks/linkages,1995-05-16
Recall,Fuel:throttle linkages and control,N/A,1995-05-12
Recall,Electrical system:wiring:other part,Electrical System,1995-05-09
Recall,Interior systems:seat:material,N/A,1995-03-27
Recall,Fuel:fuel tank assembly:pipe:filler:neck,"Fuel System, Gasoline",1995-03-27
Recall,Emergency parking brake:mechanical:linkages and ca,Parking Brake,1995-03-22
Recall,Brakes:hydraulic:lines:metallic,"Service Brakes, Hydraulic",1995-03-15
Recall,Steering:linkages:tie rod:inner,Steering,1995-03-15
Recall,Equipment:certification label,Equipment,1995-02-28
Recall,Interior systems:passive restraint:air bag:passeng,Air Bags,1995-02-24
Recall,Visual systems:glass:window:door and side,Visibility,1995-01-24
Large Recall,Ford/seat belt anchorage,Seat Belts,1996-12-27
Recall,Ford/throttle icing,N/A,1996-12-18
Recall,Ford/rear axle,Suspension,1996-12-18
Recall,Ford/driver air bag,Air Bags,1996-11-12
Recall,Ford/fmvss 105,Parking Brake,1996-10-28
Recall,Ford/fuel tank assembly,"Fuel System, Gasoline",1996-10-17
Recall,"Ford/fmvss 121, air brakes","Service Brakes, Air",1996-10-15
Recall,Ford/battery cable harness,Electrical System,1996-10-02
Recall,Ford/master cylinder retainer clip,"Service Brakes, Hydraulic",1996-09-25
Large Recall,Ford/auto transmission park pawl,Power Train,1996-09-18
Recall,Ford/battery cable,Electrical System,1996-09-18
Large Recall,Ford/automatic shoulder belt,Seat Belts,1996-09-06
Large Recall,Ford/automatic shoulder belt,Seat Belts,1996-09-06
Recall,Ford/auto transmission,Power Train,1996-09-05
Large Recall,Ford/equipment; certification label,Equipment,1996-08-29
Recall,Ford/fuel; fuel injection; regulator,"Fuel System, Gasoline",1996-08-12
Recall,Ford/structure; frame; members and body,Structure,1996-08-01
Recall,Ford/steering:linkages:arm:pitman,Steering,1996-07-18
Recall,Ford/interior systems:seat tracks and anchors,N/A,1996-07-01
Recall,Ford/interior systems:seat belts:lap:rear,Seat Belts,1996-06-24
Recall,Ford/interior systems:bench,N/A,1996-06-03
Recall,Ford/interior systems:passive restraint:air bag,N/A,1996-06-03
Large Recall,Ford/front accessory drive belt,Engine And Engine Cooling,1996-05-28
Recall,Ford/power train: transmission,Power Train,1996-05-14
Large Recall,Ford/electrical system:ignition,Electrical System,1996-04-25
Recall,Ford/structure:door assembly:latches and locks,Latches/locks/linkages,1996-04-22
Recall,Ford/interior systems:tracks and anchors:front,N/A,1996-04-16
Recall,Ford/brakes:hydraulic:lines:hose:non-metallic,"Service Brakes, Hydraulic",1996-03-13
Recall,Ford/interior systems:restraint,Seat Belts,1996-03-05
Large Recall,Ford/brakes:power assist:primary:booster,"Service Brakes, Hydraulic",1996-02-05
Large Recall,Ford/structure:hatchback hydraulic cylinder,Structure,1996-01-31
Recall,Ford/brakes:hydraulic:switch:brake warning,"Service Brakes, Hydraulic",1996-01-25
Recall,Ford/lighting and communications systems,N/A,1996-01-23
Recall,Ford/air conditioner:climate control module,Equipment,1996-01-16
Large Recall,Ford/sunroof label,Structure,1997-12-18
Recall,Ford/throttle cable,Vehicle Speed Control,1997-12-08
Recall,Ford/fmvss 114,Electrical System,1997-11-24
Recall,Ford/fuel rails,"Fuel System, Gasoline",1997-11-24
Recall,Ford/cng solenoid valve,"Fuel System, Other",1997-11-17
Recall,Ford/transfer case/driveshaft,Power Train,1997-11-13
Recall,Ford/exhaust gas leak,Engine And Engine Cooling,1997-11-13
Recall,Ford/automotive battery,Electrical System,1997-10-29
Recall,Ford/tires,Tires,1997-10-29
Recall,Ford/fuel lines,"Fuel System, Gasoline",1997-10-28
Large Recall,Ford/hoods,Structure,1997-10-20
Large Recall,Ford/auto transmission cable assembly,Power Train,1997-10-07
Recall,Ford/seat belt buckle assemblies,Seat Belts,1997-10-07
Large Recall,Ford/seat belt buckles,Seat Belts,1997-10-07
Recall,Ford/steering gear,Steering,1997-09-30
Large Recall,Ford/fuel line leakage,"Fuel System, Gasoline",1997-09-22
Recall,Ford/transmission shift cable,Power Train,1997-09-09
Recall,Ford/air brake reservoir,"Service Brakes, Air",1997-09-09
Recall,Ford/fuel tank,"Fuel System, Gasoline",1997-09-03
Recall,Ford/fuel tank,"Fuel System, Gasoline",1997-09-03
Recall,Ford/liftgate bracket welds,Structure,1997-08-19
Recall,Ford/accelerator return springs,Vehicle Speed Control,1997-08-04
Recall,Ford/engine harness/battery cable,Electrical System,1997-07-14
Recall,Ford/auto transmission,Power Train,1997-06-09
Recall,Ford/auto transmission shift linkage,Power Train,1997-05-28
Large Recall,Ford/remote power mirror switch,Visibility,1997-05-05
Recall,Ford/throttle,N/A,1997-04-30
Recall,Ford/integrated child seat,N/A,1997-04-01
Recall,Ford/fmvss 101,"Fuel System, Gasoline",1997-03-20
Large Recall,Ford/hood latch,Latches/locks/linkages,1997-03-04
Large Recall,Ford/throttle control,N/A,1997-02-26
Recall,Ford/engine cooling fan,Engine And Engine Cooling,1997-02-25
Large Recall,Ford/lower control arm,Suspension,1998-12-16
Large Recall,Ford/subframe corrosion,Structure,1998-12-16
Recall,Ford/fuel line assembly,"Fuel System, Gasoline",1998-12-07
Recall,Ford/accuride/aluminum dual wheels,Wheels,1998-12-07
Recall,Ford/accelerator cable,N/A,1998-12-02
Recall,Ford/tow hooks/air bag deployment,Air Bags,1998-12-01
Recall,Ford/brakes,"Service Brakes, Hydraulic",1998-11-17
Recall,Ford/transmission oil cooler line,Power Train,1998-11-09
Recall,Ford/timing belt,Engine And Engine Cooling,1998-11-03
Recall,Ford/fuel hose,"Fuel System, Gasoline",1998-10-27
Recall,Ford/speedometer gear,Power Train,1998-10-14
Recall,Ford/drive shaft damage,Power Train,1998-09-24
Large Recall,Ford/shift lever damage,Power Train,1998-09-18
Recall,Ford/fuel injection o-ring seal,"Fuel System, Gasoline",1998-09-01
Recall,Ford/dash insulator clip,N/A,1998-09-01
Recall,Ford/seat belt buckle attachment,Seat Belts,1998-08-25
Recall,Ford/speed control cable,Vehicle Speed Control,1998-08-24
Recall,Ford/fuel pressure o-ring,"Fuel System, Gasoline",1998-08-19
Recall,Ford/rear lamp socket,Exterior Lighting,1998-08-17
Large Recall,Ford/fuel tank cracks,"Fuel System, Gasoline",1998-08-11
Large Recall,Ford/brake caliper anchors,"Service Brakes, Hydraulic",1998-07-30
Recall,Ford/air bag control switch,Air Bags,1998-07-28
Large Recall,Ford/rear leaf springs,"Fuel System, Gasoline",1998-07-15
Large Recall,Ford/front coil springs,Suspension,1998-06-24
Recall,Ford/lower steering column,Steering,1998-05-29
Recall,Ford/park brake rotor and lining,N/A,1998-05-15
Large Recall,Ford/lug nuts,Wheels,1998-05-13
Large Recall,Ford/front coil springs,Suspension,1998-05-06
Recall,Ford/battery heater,Electrical System,1998-04-21
Large Recall,Ford/brake line wear,"Service Brakes, Hydraulic",1998-04-07
Recall,Ford/accelerator cable,Vehicle Speed Control,1998-04-01
Recall,Ford/fuel tanks,"Fuel System, Gasoline",1998-03-25
Recall,Ford/fmvss 118,Visibility,1998-03-23
Large Recall,Ford/jump starting,"Fuel System, Gasoline",1998-03-19
Recall,Ford/brake cable/fuel line,"Fuel System, Gasoline",1998-03-19
Recall,Ford/battery cable,Electrical System,1998-03-12
Recall,Ford/incorrect jack,Equipment,1998-03-10
Recall,Ford/front wheel bearing,Suspension,1998-02-24
Large Recall,Ford/fmvss 108,Exterior Lighting,1998-02-10
Recall,Ford/fmvss 120,Equipment,1998-02-02
Recall,Ford/throttle icing,Vehicle Speed Control,1998-01-21
Large Recall,Ford/headlight circuit breaker,Exterior Lighting,1998-01-21
Recall,Ford/label,Equipment,1999-12-29
Recall,Ford/tail lamp sockets,Exterior Lighting,1999-12-10
Recall,Ford/cruise control,N/A,1999-12-03
Large Recall,Ford/fmvss 301,"Fuel System, Gasoline",1999-11-04
Large Recall,Ford/hydraulic lift cylinders,Structure,1999-11-03
Recall,Ford/fuel tank cracks,"Fuel System, Gasoline",1999-11-02
Large Recall,Ford/headlights,Exterior Lighting,1999-10-12
Recall,Ford/fmvss 102/shift lever pattern,Power Train,1999-10-12
Recall,Ford/fmvss 105/park brake warning lamp,N/A,1999-09-27
Recall,Ford/seat belt retractor,Seat Belts,1999-09-20
Recall,Ford/accelerator cable core wire,N/A,1999-09-20
Recall,Ford/fuel vent hose,"Fuel System, Gasoline",1999-09-13
Large Recall,Ford/air bag sensor assembly,Air Bags,1999-09-08
Recall,Ford/door latch,Latches/locks/linkages,1999-08-18
Large Recall,Ford/fmvss 301,"Fuel System, Gasoline",1999-08-12
Recall,Ford/fuel tank straps,"Fuel System, Gasoline",1999-08-03
Recall,Ford/transaxle,Power Train,1999-07-28
Large Recall,Ford/throttle cable,N/A,1999-07-20
Large Recall,Ford/secondary hood latch,Latches/locks/linkages,1999-06-29
Large Recall,Ford/fmvss 135/warning statement,"Service Brakes, Hydraulic",1999-06-14
Recall,Ford/overhead console bracket,Structure,1999-06-02
Large Recall,Ford/speed control switch,N/A,1999-05-19
Recall,Ford/brake line,"Service Brakes, Hydraulic",1999-05-18
Large Recall,Ford/headlight switch/wiring harness,Exterior Lighting,1999-05-05
Recall,Ford/wheel lug nuts,Wheels,1999-04-29
Recall,Ford/transfer case/driveshaft,Power Train,1999-04-28
Large Recall,Ford/fmvss 301,"Fuel System, Gasoline",1999-04-27
Large Recall,Ford/fmvss 301,"Fuel System, Gasoline",1999-04-27
Recall,Ford/seat lubrication,N/A,1999-03-30
Large Recall,Ford/cruise/speed control cable,N/A,1999-03-30
Recall,Ford/fmvss 114,Electrical System,1999-03-17
Recall,Ford/cargo door hinges,Latches/locks/linkages,1999-03-15
Recall,Ford/air brake system,N/A,1999-03-15
Recall,Ford/fmvss 120,Equipment,1999-03-01
Recall,Ford/fuel pump/wiring harness,Electrical System,1999-02-09
Large Recall,Ford/ignition switch electrical short,Electrical System,1999-02-09
Large Recall,Ford/fuel leakage,"Fuel System, Gasoline",2000-12-29
Large Recall,Ford/throttle,N/A,2000-12-27
Recall,Ford/accelerator cable,Vehicle Speed Control,2000-12-26
Recall,Ford/seat hinge,Seats,2000-12-14
Recall,Ford/fmvss 109/110/limousine,N/A,2000-12-12
Recall,Ford/wire harness,Electrical System,2000-12-06
Recall,Ford/restraint control module,Air Bags,2000-12-06
Large Recall,Ford/powertrain control module,Power Train,2000-11-28
Large Recall,Ford/hood,Structure,2000-11-28
Large Recall,Ford/fmvss 225/child restraint anchor,Equipment,2000-11-28
Recall,Ford/steering,Steering,2000-11-28
Large Recall,Ford/sway bar,N/A,2000-11-28
Recall,Ford/windshield wiper,Visibility,2000-11-27
Recall,Ford/fmvss 209/seat belts,Seat Belts,2000-11-13
Recall,Ford/fmvss 209/seat belts,Seat Belts,2000-11-09
Large Recall,Ford/engine cooling fan,N/A,2000-11-06
Recall,Ford/fmvss 103/coolant blockage,Visibility,2000-11-03
Recall,Ford/front lower ball joints,Suspension,2000-11-03
Recall,Ford/seat belt retractor,Seat Belts,2000-10-30
Large Recall,Ford/parking brake pawl,Parking Brake,2000-10-30
Recall,Ford/fuel tank filler pipe grommet,"Fuel System, Other",2000-10-30
Large Recall,Ford/fmvss 118/accessory position,Electrical System,2000-10-30
Recall,Ford/seat belt buckle cover,Seat Belts,2000-10-26
Recall,Ford/fmvss 121/incorrect air line installation,N/A,2000-10-19
Recall,Ford/certification,Equipment,2000-10-17
Recall,Ford/speed control cable,Vehicle Speed Control,2000-10-12
Large Recall,Ford/rear wheel hub nuts,Wheels,2000-10-12
Recall,Ford/steering gear,Steering,2000-10-10
Recall,Ford/fmvss 225/child seat anchorage,N/A,2000-10-04
Recall,Ford/fmvss 303/label,Equipment,2000-09-21
Recall,Ford/abs ecu,"Service Brakes, Air",2000-09-21
Recall,Ford/fuel line o-ring,"Fuel System, Gasoline",2000-09-18
Recall,Ford/air bag deployment,N/A,2000-09-13
Recall,Ford/incorrect rear hubs,Wheels,2000-09-12
Recall,Ford/brake pedal position switch wiring,Exterior Lighting,2000-09-06
Recall,Ford/child safety seat anchor latch,Seat Belts,2000-08-24
Large Recall,Ford/fmvss 110/certification label,Equipment,2000-08-24
Large Recall,Ford/fmvss 209/trw seat belt buckles,N/A,2000-08-18
Recall,Ford/allison transmission,Power Train,2000-08-18
Large Recall,Ford/fuel line assembly,"Fuel System, Gasoline",2000-08-17
Large Recall,Ford/fmvss 201,Structure,2000-08-11
Recall,Ford/speed control cable,N/A,2000-08-09
Recall,Ford/steering wheel,Steering,2000-08-08
Large Recall,Ford/jacking instructions,Equipment,2000-07-18
Recall,Ford/side air bags,Air Bags,2000-07-05
Recall,Ford/fuel line fittings,"Fuel System, Gasoline",2000-06-19
Recall,Ford/fmvss 108/daytime running lights,N/A,2000-06-19
Recall,Ford/brake pedal/master cylinder clip,"Service Brakes, Hydraulic",2000-06-19
Recall,Ford/fmvss 209/seat belt assemblies,Seat Belts,2000-06-12
Recall,Ford/fmvss 209/seat belt assemblies,Seat Belts,2000-06-12
Recall,Ford/windshield wiper control modules,Visibility,2000-05-17
Recall,Ford/lug nuts,Wheels,2000-04-19
Recall,Ford/fmvss 103/water pump inlet tube,Engine And Engine Cooling,2000-03-28
Recall,Ford/rear seat belt retractor bolts,Seat Belts,2000-03-20
Large Recall,Ford/rear brake valve,"Service Brakes, Hydraulic",2000-03-09
Large Recall,Ford/electronic functions,Electrical System,2000-03-07
Large Recall,Ford/trailer hitch assembly,N/A,2000-03-07
Recall,Ford/aftermarket trailer hitch bolts,N/A,2000-03-07
Recall,Ford/air bag module,Air Bags,2000-02-17
Recall,Ford/glass retention,Visibility,2000-01-31
Large Recall,Ford/engine cooling fan bearing,Engine And Engine Cooling,2001-12-21
Large Recall,Ford/engine cooling fan,Engine And Engine Cooling,2001-12-21
Large Recall,Ford/rear wheel bearings,Wheels,2001-11-29
Recall,Ford/suspension mounting bracket,Suspension,2001-10-17
Recall,Ford/autoliv/airbag inflators,Air Bags,2001-10-03
Large Recall,Ford/windshield wiper motor cover,Visibility,2001-08-15
Large Recall,Ford/auxiliary a/c blower motor wiring,Equipment,2001-08-15
Large Recall,Ford/front coil spring corrosion,Suspension,2001-08-08
Large Recall,Ford/front coil springs,Suspension,2001-08-08
Large Recall,Ford/windshield wiper motor cover,Visibility,2001-08-08
Large Recall,Ford/fuel cross flow,N/A,2001-07-19
Large Recall,Ford/trw seat belt buckles,Seat Belts,2001-07-16
Large Recall,Ford/front coil springs,Suspension,2001-07-12
Large Recall,Ford/heater blower resistor,N/A,2001-07-09
Large Recall,Ford/heater blower resistor,Visibility,2001-07-09
Recall,Ford/adjustable accelerator pedal/floor mat,Vehicle Speed Control,2001-06-22
Large Recall,Ford/front coil spring corrosion,Suspension,2001-06-18
